id,postal_code,latitude,longitude
645895,NR7 0HR,52.630272,1.365507
646121,NR6 7NF,52.655296,1.30124
647548,NR35 2TL,52.448654,1.414168
647803,NR35 2HS,52.498388,1.468085
647806,NR35 2HW,52.492636,1.501572
648151,NR34 9NW,52.450792,1.561652
648254,NR34 9TT,52.456109,1.563585
648361,NR34 8NB,52.407675,1.50704
648366,NR34 8NH,52.412615,1.484472
648436,NR34 7PJ,52.441097,1.626777
648640,NR34 0HH,52.482512,1.534013
648694,NR34 8DL,52.405242,1.573805
649963,NR32 5QS,52.519667,1.652764
650915,NR32 1PL,52.480232,1.752721
653056,NR30 1HE,52.607902,1.721796
653758,NR3 1EH,52.64333,1.296243
653885,NR3 1RB,52.629934,1.298974
653895,NR3 1RT,52.632547,1.29937
654005,NR29 5JL,52.701491,1.589855
654233,NR29 3JQ,52.651863,1.689553
654260,NR29 3LY,52.685602,1.660217
654261,NR29 3LZ,52.679932,1.673077
654440,NR28 9RT,52.77074,1.425437
654666,NR28 9DA,52.821628,1.38845
654799,NR28 9LP,52.811275,1.411982
654940,NR28 0NZ,52.839763,1.369069
655041,NR27 9LA,52.904827,1.312389
655645,NR25 7XH,52.94989,1.090597
655750,NR26 8HR,52.938677,1.207929
656012,NR25 7SZ,52.943067,1.14019
656159,NR25 6RN,52.909651,1.136418
656460,NR23 1NY,52.916802,0.89046
656641,NR22 6AZ,52.908567,0.831723
656695,NR23 1AL,52.92154,0.884297
656854,NR21 9DY,52.831497,0.846275
656876,NR21 9HA,52.834709,0.841304
656998,NR21 9PU,52.885729,0.767604
657264,NR21 7EE,52.79505,0.801303
657300,NR21 7JG,52.789775,0.871926
657425,NR21 0BQ,52.863309,0.967169
657449,NR21 0DZ,52.807536,0.91094
657549,NR20 5EF,52.778212,0.905023
657740,NR20 4JT,52.718217,1.000822
657783,NR20 4PA,52.713927,0.986607
657816,NR20 5SR,52.772203,0.837898
657965,NR20 3RJ,52.6669,1.01589
658064,NR20 4BD,52.711736,0.953194
658503,NR2 4QG,52.634167,1.279027
658520,NR2 4SE,52.629753,1.29837
658634,NR2 3NL,52.622488,1.270114
658966,NR2 1AD,52.629949,1.295857
659173,NR19 2PT,52.678698,0.927283
659398,NR19 2AX,52.682631,0.940353
659426,NR19 1BX,52.680233,0.942626
659453,NR19 2DJ,52.681657,0.93974
659713,NR19 1QY,52.653176,0.96562
659783,NR18 9PX,52.572593,1.06029
659837,NR18 0QB,52.571174,1.112832
659863,NR18 0RR,52.595181,1.106982
660045,NR18 0AD,52.571425,1.11057
660229,NR17 2AS,52.514861,1.020755
660230,NR17 2AT,52.513242,1.023416
660386,NR17 2LD,52.532575,1.060402
660449,NR17 1LB,52.539281,0.958517
660529,NR17 1PL,52.479897,1.051869
660685,NR16 2RN,52.449919,0.889774
660766,NR17 1AN,52.513154,0.988843
660807,NR17 1DS,52.499209,0.926479
660814,NR17 1EA,52.504169,0.897651
660823,NR17 1EN,52.515891,0.910812
660824,NR17 1EP,52.509876,0.879138
661089,NR16 1BW,52.505483,1.152468
661114,NR16 2LR,52.481229,0.936008
661205,NR16 1NJ,52.485305,1.085189
661410,NR15 2XA,52.467531,1.226278
661445,NR15 1SP,52.523045,1.220378
661656,NR15 1BE,52.569339,1.406654
661671,NR15 1DF,52.541017,1.427227
661684,NR15 1EB,52.521352,1.380517
661710,NR15 1HR,52.540084,1.365775
662076,NR14 7SS,52.571388,1.350387
662285,NR14 7DU,52.601681,1.353432
662338,NR14 6DG,52.574668,1.479124
662396,NR14 7LP,52.55931,1.336066
662466,NR14 6JD,52.528493,1.489142
662821,NR14 6BJ,52.552965,1.466921
663083,NR13 5AP,52.627328,1.457658
663570,NR12 9JT,52.789331,1.486166
663623,NR13 3SE,52.592055,1.515615
663692,NR12 9SB,52.765891,1.539926
663821,NR13 3AZ,52.640144,1.561456
664165,NR12 0SJ,52.807224,1.567029
664340,NR11 8TG,52.884287,1.33067
664429,NR11 8AT,52.877867,1.426937
